ID	Traditional	Simplified	Pinyin	POS	Meaning	Audio	Variants	Tags
B1L01-I-01	陳月美	陈月美	Chén Yuèměi		a woman from Vietnam	[sound:dangdai-B1L01-I-01.mp3]		Character Name
B1L01-I-02	李明華	李明华	Lǐ Mínghuá		a man from Taiwan	[sound:dangdai-B1L01-I-02.mp3]		Character Name
B1L01-I-03	王開文	王开文	Wáng Kāiwén		a man from the US	[sound:dangdai-B1L01-I-03.mp3]		Character Name
B1L01-I-04	你	你	nǐ	N	you	[sound:dangdai-B1L01-I-04.mp3]		
B1L01-I-05	來	来	lái	V	to come	[sound:dangdai-B1L01-I-05.mp3]		
B1L01-I-06	是	是	shì	Vst	to be	[sound:dangdai-B1L01-I-06.mp3]		
B1L01-I-07	小姐	小姐	xiǎojiě	N	Miss, Ms.	[sound:dangdai-B1L01-I-07.mp3]		
B1L01-I-08	嗎	吗	ma	Ptc	sentence final particle	[sound:dangdai-B1L01-I-08.mp3]		
B1L01-I-09	接	接	jiē	V	to pick sb up	[sound:dangdai-B1L01-I-09.mp3]		
B1L01-I-10	我們	我们	wǒmen	N	we, us	[sound:dangdai-B1L01-I-10.mp3]		
B1L01-I-11	我	我	wǒ	N	I, me	[sound:dangdai-B1L01-I-11.mp3]		
B1L01-I-12	這	这	zhè / zhèi	Det	this	[sound:dangdai-B1L01-I-12.mp3]	這 [zhè] / 這 [zhèi]	
B1L01-I-13	先生	先生	xiānshēng	N	Mr.	[sound:dangdai-B1L01-I-13.mp3]		
B1L01-I-14	好	好	hǎo	Vs	fine, well	[sound:dangdai-B1L01-I-14.mp3]		
B1L01-I-15	姓	姓	xìng	Vst	to be surnamed	[sound:dangdai-B1L01-I-15.mp3]		
B1L01-I-16	叫	叫	jiào	Vst	to be called, i.e., to have the first name xx	[sound:dangdai-B1L01-I-16.mp3]		
B1L01-I-17	你們	你们	nǐmen	N	you (plural)	[sound:dangdai-B1L01-I-17.mp3]		
B1L01-I-18	臺灣（＝台灣）	台湾	Táiwān		Taiwan	[sound:dangdai-B1L01-I-18.mp3]	臺灣 [Táiwān] / 台灣 [Táiwān]	Name
B1L01-I-19	歡迎	欢迎	huānyíng	Ph	welcome	[sound:dangdai-B1L01-I-19.mp3]		
B1L01-I-20	請問	请问	qǐngwèn	Ph	May I ask you... Excuse me, ...	[sound:dangdai-B1L01-I-20.mp3]		
B1L01-I-21	是的	是的	shìde	Ph	yes	[sound:dangdai-B1L01-I-21.mp3]		
B1L01-I-22	謝謝	谢谢	xièxie	Ph	Thank you.	[sound:dangdai-B1L01-I-22.mp3]		
B1L01-I-23	不客氣	不客气	búkèqì	Ph	You're welcome.	[sound:dangdai-B1L01-I-23.mp3]		
B1L01-I-24	你好	你好	Nǐ hǎo	Ph	How are you? Hello.	[sound:dangdai-B1L01-I-24.mp3]		
B1L01-II-01	請	请	qǐng	V	please	[sound:dangdai-B1L01-II-01.mp3]		
B1L01-II-02	喝	喝	hē	V	to drink	[sound:dangdai-B1L01-II-02.mp3]		
B1L01-II-03	茶	茶	chá	N	tea	[sound:dangdai-B1L01-II-03.mp3]		
B1L01-II-04	很	很	hěn	Adv	very	[sound:dangdai-B1L01-II-04.mp3]		
B1L01-II-05	好喝	好喝	hǎohē	Vs	(lit. good to drink) to taste good	[sound:dangdai-B1L01-II-05.mp3]		
B1L01-II-06	什麼	什么	shénme	N	what	[sound:dangdai-B1L01-II-06.mp3]		
B1L01-II-07	人	人	rén	N	person, people	[sound:dangdai-B1L01-II-07.mp3]		
B1L01-II-08	喜歡	喜欢	xǐhuān	Vst	to like	[sound:dangdai-B1L01-II-08.mp3]		
B1L01-II-09	呢	呢	ne	Ptc	sentence final particle	[sound:dangdai-B1L01-II-09.mp3]		
B1L01-II-10	他	他	tā	N	he, him	[sound:dangdai-B1L01-II-10.mp3]		
B1L01-II-11	不	不	bù	Adv	not	[sound:dangdai-B1L01-II-11.mp3]		
B1L01-II-12	哪	哪	nǎ / něi	Det	which	[sound:dangdai-B1L01-II-12.mp3]	哪 [nǎ] / 哪 [něi]	
B1L01-II-13	要	要	yào	Vaux	to want to	[sound:dangdai-B1L01-II-13.mp3]		
B1L01-II-14	咖啡	咖啡	kāfēi	N	coffee	[sound:dangdai-B1L01-II-14.mp3]		
B1L01-II-15	烏龍茶	乌龙茶	Wūlóng chá		Oolong tea	[sound:dangdai-B1L01-II-15.mp3]		Name
B1L01-II-16	日本	日本	Rìběn		Japan	[sound:dangdai-B1L01-II-16.mp3]		Name
B1L01-II-17	美國	美国	Měiguó		America	[sound:dangdai-B1L01-II-17.mp3]		Name
B1L01-II-18	對不起	对不起	duìbùqǐ	Ph	I'm sorry.	[sound:dangdai-B1L01-II-18.mp3]		
B1L01-II-19	哪國	哪国	nǎ guó / něi guó	Ph	Which country?	[sound:dangdai-B1L01-II-19.mp3]	哪國 [nǎ guó] / 哪國 [něi guó]	
B1L02-I-01	張怡君	张怡君	Zhāng Yíjūn		a woman from Taiwan	[sound:dangdai-B1L02-I-01.mp3]		Character Name
B1L02-I-02	馬安同	马安同	Mǎ Āntóng		a man from the Republic of Honduras	[sound:dangdai-B1L02-I-02.mp3]		Character Name
B1L02-I-03	的	的	de	Ptc	modification marker	[sound:dangdai-B1L02-I-03.mp3]		
