//當代中文/Book 1/L01-I
陈月美[陳月美]	Chén Yuèměi	a woman from Vietnam
李明华[李明華]	Lǐ Mínghuá	a man from Taiwan
王开文[王開文]	Wáng Kāiwén	a man from the US
你[你]	nǐ	(N) you
来[來]	lái	(V) to come
是[是]	shì	(Vst) to be
小姐[小姐]	xiǎojiě	(N) Miss, Ms.
吗[嗎]	ma	(Ptc) sentence final particle
接[接]	jiē	(V) to pick sb up
我们[我們]	wǒmen	(N) we, us
我[我]	wǒ	(N) I, me
这[這]	zhè / zhèi	(Det) this
先生[先生]	xiānshēng	(N) Mr.
好[好]	hǎo	(Vs) fine, well
姓[姓]	xìng	(Vst) to be surnamed
叫[叫]	jiào	(Vst) to be called, i.e., to have the first name xx
你们[你們]	nǐmen	(N) you (plural)
台湾[臺/台灣]	Táiwān	Taiwan
欢迎[歡迎]	huānyíng	(Ph) welcome
请问[請問]	qǐngwèn	(Ph) May I ask you... Excuse me, ...
是的[是的]	shìde	(Ph) yes
谢谢[謝謝]	xièxie	(Ph) Thank you.
不客气[不客氣]	búkèqì	(Ph) You're welcome.
你好[你好]	Nǐ hǎo	(Ph) How are you? Hello.
//當代中文/Book 1/L01-II
请[請]	qǐng	(V) please
喝[喝]	hē	(V) to drink
茶[茶]	chá	(N) tea
很[很]	hěn	(Adv) very
好喝[好喝]	hǎohē	(Vs) (lit. good to drink) to taste good
什么[什麼]	shénme	(N) what
人[人]	rén	(N) person, people
喜欢[喜歡]	xǐhuān	(Vst) to like
呢[呢]	ne	(Ptc) sentence final particle
他[他]	tā	(N) he, him
不[不]	bù	(Adv) not
哪[哪]	nǎ / něi	(Det) which
要[要]	yào	(Vaux) to want to
咖啡[咖啡]	kāfēi	(N) coffee
乌龙茶[烏龍茶]	Wūlóng chá	Oolong tea
日本[日本]	Rìběn	Japan
美国[美國]	Měiguó	America
对不起[對不起]	duìbùqǐ	(Ph) I'm sorry.
哪国[哪國]	nǎ guó / něi guó	(Ph) Which country?
//當代中文/Book 1/L02-I
张怡君[張怡君]	Zhāng Yíjūn	a woman from Taiwan
马安同[馬安同]	Mǎ Āntóng	a man from the Republic of Honduras
的[的]	de	(Ptc) modification marker
家人[家人]	jiārén	(N) family (members)
家[家]	jiā	(N) home, house
漂亮[漂亮]	piàoliàng	(Vs) pretty
房子[房子]	fángzi	(N) house
坐[坐]	zuò	(Vi) to sit
好[好]	hǎo	(Ptc) OK
有[有]	yǒu	(Vst) to have
多[多]	duō	(Vs-pred) many
照片[照片]	zhàopiàn	(N) photo
都[都]	dōu	(Adv) all, both
照相[照相]	zhàoxiàng	(V-sep) to take a photo
张[張]	zhāng	(M) measure word for flat objects (e.g., paper, tickets)
好看[好看]	hǎokàn	(Vs) good-looking
谁[誰]	shéi	(N) who
姐姐[姐姐]	jiějie	(N) older sister
妹妹[妹妹]	mèimei	(N) younger sister
爸爸[爸爸]	bàba	(N) dad
妈妈[媽媽]	māma	(N) mom
请进[請進]	qǐng jìn	(Ph) Please come in!
//當代中文/Book 1/L02-II
田中诚一[田中誠一]	Tiánzhōng Chéngyī	a man from Japan
伯母[伯母]	bómǔ	(N) aunt; here a polite term for a friend's mother regardless of age
您[您]	nín	(N) you (honorific)
名字[名字]	míngzi	(N) name
书[書]	shū	(N) book
哥哥[哥哥]	gēge	(N) older brother
老师[老師]	lǎoshī	(N) teacher
看书[看書]	kànshū	(V-sep) to read
几[幾]	jǐ	(N) how many
个[個]	ge	(M) general measure word
没[沒]	méi	(Adv) not
兄弟[兄弟]	xiōngdì	(N) brothers
姐妹[姐妹]	jiěmèi	(N) sisters
五[五]	wǔ	(N) five
两[兩]	liǎng	(N) two
//當代中文/Book 1/L03-I
周末[週末]	zhōumò	(N) weekend
听[聽]	tīng	(V) to listen
音乐[音樂]	yīnyuè	(N) music
运动[運動]	yùndòng	(Vi) to exercise
打[打]	dǎ	(V) to play (ball games)
网球[網球]	wǎngqiú	(N) tennis
棒球[棒球]	bàngqiú	(N) baseball
和[和]	hàn	(Conj) and, as well as
游泳[游泳]	yóuyǒng	(V-sep) to swim
常[常]	cháng	(Adv) often
篮球[籃球]	lánqiú	(N) basketball
也[也]	yě	(Adv) also
踢[踢]	tī	(V) to kick
足球[足球]	zúqiú	(N) soccer
觉得[覺得]	juéde	(Vst) to feel, to think
好玩[好玩]	hǎowán	(Vs) interesting, fun
明天[明天]	míngtiān	(N) tomorrow
早上[早上]	zǎoshàng	(N) morning
去[去]	qù	(V) to go
怎么样[怎麼樣]	zěnmeyàng	(Vs) How about it? How does that sound? What do you think?
啊[啊]	a	(Ptc) sentence-final particle
做什么[做什麼]	zuò shénme	(Ph) do what
好啊[好啊]	hǎo a	(Ph) OK
//當代中文/Book 1/L03-II
白如玉[白如玉]	Bái Rúyù	a woman from the US
今天[今天]	jīntiān	(N) today
晚上[晚上]	wǎnshàng	(N) evening, night
看[看]	kàn	(V) to see, to watch
电影[電影]	diànyǐng	(N) movie
妳[妳]	nǐ	(N) you (female)
想[想]	xiǎng	(Vaux) to want, to think
还是[還是]	háishì	(Conj) or (used in a question)
吧[吧]	ba	(Ptc) sentence-final particle for suggestion
可以[可以]	kěyǐ	(Vaux) could (possibility)
学[學]	xué	(V) to learn, to study
中文[中文]	Zhōngwén	(N) Chinese language
一起[一起]	yìqǐ	(Adv) together
吃[吃]	chī	(V) to eat
晚饭[晚飯]	wǎnfàn	(N) dinner
菜[菜]	cài	(N) cuisine
越南[越南]	Yuènán	Vietnam
好不好[好不好]	hǎo bù hǎo	(Ph) How about...? How does that sound?
//當代中文/Book 1/L04-I
一共[一共]	yígòng	(Adv) altogether
