ID	Traditional	Pinyin	POS	Meaning	Tags	Audio
B1L01-I-01	陳月美	Chén Yuèměi		a woman from Vietnam	People	[sound:B1.01-02.001.mp3]
B1L01-I-02	李明華	Lǐ Mínghuá		a man from Taiwan	People	[sound:B1.01-02.002.mp3]
B1L01-I-03	王開文	Wáng Kāiwén		a man from the US	People	[sound:B1.01-02.003.mp3]
B1L01-I-04	你	nǐ	N	you		[sound:B1.01-02.004.mp3]
B1L01-I-05	來	lái	V	to come		[sound:B1.01-02.005.mp3]
B1L01-I-06	是	shì	Vst	to be		[sound:B1.01-02.006.mp3]
B1L01-I-07	小姐	xiǎojiě	N	Miss, Ms		[sound:B1.01-02.007.mp3]
B1L01-I-08	嗎	ma	Ptc	sentence final particle		[sound:B1.01-02.008.mp3]
B1L01-I-09	接	jiē	V	to pick sb up		[sound:B1.01-02.009.mp3]
B1L01-I-10	我們	wǒmen	N	we, us		[sound:B1.01-02.010.mp3]
B1L01-I-11	我	wǒ	N	I, me		[sound:B1.01-02.011.mp3]
B1L01-I-12	這	zhè / zhèi	Det	this		[sound:B1.01-02.012.mp3]
B1L01-I-13	先生	xiānshēng	N	Mr		[sound:B1.01-02.013.mp3]
B1L01-I-14	好	hǎo	Vs	fine, well		[sound:B1.01-02.014.mp3]
B1L01-I-15	姓	xìng	Vst	to be surnamed		[sound:B1.01-02.015.mp3]
B1L01-I-16	叫	jiào	Vst	to be called, i.e., to have the first name xx		[sound:B1.01-02.016.mp3]
B1L01-I-17	你們	nǐmen	N	you (plural)		[sound:B1.01-02.017.mp3]
B1L01-I-18	臺灣/台灣	Táiwān		Taiwan	Place	[sound:B1.01-02.018.mp3]
B1L01-I-19	歡迎	huānyíng		welcome		[sound:B1.01-02.019.mp3]
B1L01-I-20	請問	qǐngwèn		May I ask you... Excuse me,...		[sound:B1.01-02.020.mp3]
B1L01-I-21	是的	shìde		yes		[sound:B1.01-02.021.mp3]
B1L01-I-22	謝謝	xièxie		Thank you		[sound:B1.01-02.022.mp3]
B1L01-I-23	不客氣	búkèqì		You're welcome		[sound:B1.01-02.023.mp3]
B1L01-I-24	你好	nǐ hǎo		How are you? Hello		[sound:B1.01-02.024.mp3]
B1L01-II-01	請	qǐng	V	please		[sound:B1.01-04.001.mp3]
B1L01-II-02	喝	hē	V	to drink		[sound:B1.01-04.002.mp3]
B1L01-II-03	茶	chá	N	tea		[sound:B1.01-04.003.mp3]
B1L01-II-04	很	hěn	Adv	very		[sound:B1.01-04.004.mp3]
B1L01-II-05	好喝	hǎohē	Vs	(lit. good to drink) to taste good		[sound:B1.01-04.005.mp3]
B1L01-II-06	什麼	shénme	N	what		[sound:B1.01-04.006.mp3]
B1L01-II-07	人	rén	N	person, people		[sound:B1.01-04.007.mp3]
B1L01-II-08	喜歡	xǐhuān	Vst	to like		[sound:B1.01-04.008.mp3]
B1L01-II-09	呢	ne	Ptc	sentence final particle		[sound:B1.01-04.009.mp3]
B1L01-II-10	他	tā	N	he, him		[sound:B1.01-04.010.mp3]
B1L01-II-11	不	bù	Adv	not		[sound:B1.01-04.011.mp3]
B1L01-II-12	哪	nǎ / něi	Det	which		[sound:B1.01-04.012.mp3]
B1L01-II-13	要	yào	Vaux	to want to		[sound:B1.01-04.013.mp3]
B1L01-II-14	咖啡	kāfēi	N	coffee		[sound:B1.01-04.014.mp3]
B1L01-II-15	烏龍茶	Wūlóng chá		Oolong tea		[sound:B1.01-04.015.mp3]
B1L01-II-16	日本	Rìběn		Japan	Place	[sound:B1.01-04.016.mp3]
B1L01-II-17	美國	Měiguó		America	Place	[sound:B1.01-04.017.mp3]
B1L01-II-18	對不起	duìbùqǐ		I'm sorry		[sound:B1.01-04.018.mp3]
B1L01-II-19	哪國	nǎguó / něi guó		Which country?		[sound:B1.01-04.019.mp3]
B1L02-I-01	張怡君	Zhāng Yíjūn		a woman from Taiwan	People	[sound:B1.02-02.001.mp3]
B1L02-I-02	馬安同	Mǎ Āntóng		a man from the Republic of Honduras	People	[sound:B1.02-02.002.mp3]
B1L02-I-03	的	de	Ptc	modification marker		[sound:B1.02-02.003.mp3]
B1L02-I-04	家人	jiārén	N	family (members)		[sound:B1.02-02.004.mp3]
B1L02-I-05	家	jiā	N	home, house		[sound:B1.02-02.005.mp3]
B1L02-I-06	漂亮	piàoliàng	Vs	pretty		[sound:B1.02-02.006.mp3]
B1L02-I-07	房子	fángzi	N	house		[sound:B1.02-02.007.mp3]
B1L02-I-08	坐	zuò	Vi	to sit		[sound:B1.02-02.008.mp3]
B1L02-I-09	好	hǎo	Ptc	OK		[sound:B1.02-02.009.mp3]
B1L02-I-10	有	yǒu	Vst	to have		[sound:B1.02-02.010.mp3]
B1L02-I-11	多	duō	Vs-pred	many		[sound:B1.02-02.011.mp3]
B1L02-I-12	照片	zhàopiàn	N	photo		[sound:B1.02-02.012.mp3]
B1L02-I-13	都	dōu	Adv	all, both		[sound:B1.02-02.013.mp3]
B1L02-I-14	照相	zhàoxiàng	V-sep	to take a photo		[sound:B1.02-02.014.mp3]
B1L02-I-15	張	zhāng	M	measure word for flat objects (e.g., paper, tickets)		[sound:B1.02-02.015.mp3]
B1L02-I-16	好看	hǎokàn	Vs	good-looking		[sound:B1.02-02.016.mp3]
B1L02-I-17	誰	shéi	N	who		[sound:B1.02-02.017.mp3]
B1L02-I-18	姐姐	jiějie	N	older sister		[sound:B1.02-02.018.mp3]
B1L02-I-19	妹妹	mèimei	N	younger sister		[sound:B1.02-02.019.mp3]
B1L02-I-20	爸爸	bàba	N	dad		[sound:B1.02-02.020.mp3]
B1L02-I-21	媽媽	māma	N	mom		[sound:B1.02-02.021.mp3]
B1L02-I-22	請進	qǐng jìn		Please come in!		[sound:B1.02-02.022.mp3]
B1L02-II-01	田中誠一	Tiánzhōng Chéngyī		a man from Japan	People	[sound:B1.02-04.001.mp3]
B1L02-II-02	伯母	bómǔ	N	aunt; here a polite term for a friends' mother regardless of age		[sound:B1.02-04.002.mp3]
B1L02-II-03	您	nín	N	you (honorific)		[sound:B1.02-04.003.mp3]
B1L02-II-04	名字	míngzi	N	name		[sound:B1.02-04.004.mp3]
B1L02-II-05	書	shū	N	book		[sound:B1.02-04.005.mp3]
B1L02-II-06	哥哥	gēge	N	older brother		[sound:B1.02-04.006.mp3]
B1L02-II-07	老師	lǎoshī	N	teacher		[sound:B1.02-04.007.mp3]
B1L02-II-08	看書	kànshū	V-sep	to read		[sound:B1.02-04.008.mp3]
B1L02-II-09	幾	jǐ	N	how many		[sound:B1.02-04.009.mp3]
B1L02-II-10	個	ge	M	general measure word		[sound:B1.02-04.010.mp3]
B1L02-II-11	沒	méi	Adv	not		[sound:B1.02-04.011.mp3]
B1L02-II-12	兄弟	xiōngdì	N	brothers		[sound:B1.02-04.012.mp3]
B1L02-II-13	姐妹	jiěmèi	N	sisters		[sound:B1.02-04.013.mp3]
B1L02-II-14	五	wǔ	N	five		[sound:B1.02-04.014.mp3]
B1L02-II-15	兩	liǎng	N	two		[sound:B1.02-04.015.mp3]
B1L03-I-01	週末	zhōumò	N	weekend		[sound:B1.03-02.001.mp3]
B1L03-I-02	聽	tīng	V	to listen		[sound:B1.03-02.002.mp3]
B1L03-I-03	音樂	yīnyuè	N	music		[sound:B1.03-02.003.mp3]
B1L03-I-04	運動	yùndòng	Vi	to exercise		[sound:B1.03-02.004.mp3]
B1L03-I-05	打	dǎ	V	to play (ball games)		[sound:B1.03-02.005.mp3]
B1L03-I-06	網球	wǎngqiú	N	tennis		[sound:B1.03-02.006.mp3]
B1L03-I-07	棒球	bàngqiú	N	baseball		[sound:B1.03-02.007.mp3]
B1L03-I-08	和	hàn	Conj	and, as well as		[sound:B1.03-02.008.mp3]
B1L03-I-09	游泳	yóuyǒng	V-sep	to swim		[sound:B1.03-02.009.mp3]
B1L03-I-10	常	cháng	Adv	often		[sound:B1.03-02.010.mp3]
B1L03-I-11	籃球	lánqiú	N	basketball		[sound:B1.03-02.011.mp3]
B1L03-I-12	也	yě	Adv	also		[sound:B1.03-02.012.mp3]
B1L03-I-13	踢	tī	V	to kick		[sound:B1.03-02.013.mp3]
B1L03-I-14	足球	zúqiú	N	soccer		[sound:B1.03-02.014.mp3]
B1L03-I-15	覺得	juéde	Vst	to feel, to think		[sound:B1.03-02.015.mp3]
B1L03-I-16	好玩	hǎowán	Vs	Interesting, fun		[sound:B1.03-02.016.mp3]
B1L03-I-17	明天	míngtiān	N	tomorrow		[sound:B1.03-02.017.mp3]
B1L03-I-18	早上	zǎoshàng	N	morning		[sound:B1.03-02.018.mp3]
B1L03-I-19	去	qù	V	to go		[sound:B1.03-02.019.mp3]
B1L03-I-20	怎麼樣	zěnmeyàng	Vs	How about it? How does that sound? What do you think?		[sound:B1.03-02.020.mp3]
B1L03-I-21	啊	a	Ptc	sentence-final particle		[sound:B1.03-02.021.mp3]
