ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B1L01-I-12	這	这	zhè / zhèi	Det	this	ankiweb ccc book
B1L01-I-18	臺灣（＝台灣）	台湾	Táiwān		Taiwan	Place book simp
B1L01-I-20	請問	请问	qǐngwèn		May I ask you... Excuse me, ...	slides quizlet book
B1L01-I-23	不客氣	不客气	búkèqì		You're welcome.	slides quizlet book
B1L01-I-24	你好	你好	Nǐ hǎo		How are you? Hello.	slides quizlet book
B1L01-II-12	哪	哪	nǎ / něi	Det	which	ankiweb ccc book
B1L01-II-15	烏龍茶	乌龙茶	Wūlóng chá		Oolong tea	ankiweb ccc book
B1L01-II-18	對不起	对不起	duìbùqǐ		I'm sorry.	book
B1L01-II-19	哪國	哪国	nǎ guó / něi guó		Which country?	book
B1L02-I-02	馬安同	马安同	Mǎ Āntóng		a man from the Republic of Honduras	ankiweb ccc book
B1L02-I-03	的	的	de	Ptc	modification marker	slides quizlet ankiweb ccc book
B1L02-I-15	張	张	zhāng	M	measure word for flat objects (e.g., paper, tickets)	slides quizlet ankiweb ccc book
B1L02-I-22	請進	请进	qǐng jìn		Please come in!	ankiweb ddsg ccc quizlet
B1L02-II-01	田中誠一	田中诚一	Tiánzhōng Chéngyī		a man from Japan	ankiweb ccc book
B1L02-II-02	伯母	伯母	bómǔ	N	aunt; here a polite term for a friend's mother regardless of age	quizlet book
B1L02-II-04	名字	名字	míngzi	N	name	quizlet ankiweb ccc book
B1L03-I-16	好玩	好玩	hǎowán	Vs	interesting, fun	quizlet book
B1L03-I-20	怎麼樣	怎么样	zěnmeyàng	Vs	How about it? How does that sound? What do you think?	quizlet ankiweb ccc book
B1L03-I-21	啊	啊	a	Ptc	sentence-final particle	slides ankiweb ddsg ccc book
B1L03-I-23	好啊	好啊	hǎo a		OK	ankiweb ccc book
B1L03-II-09	吧	吧	ba	Ptc	sentence-final particle for suggestion	slides ankiweb ddsg ccc book
B1L03-II-17	越南	越南	Yuènán		Vietnam	slides quizlet ankiweb ccc book
B1L03-II-18	好不好	好不好	hǎo bù hǎo		How about...? How does that sound?	quizlet ankiweb ccc book
B1L04-II-08	能	能	néng	Vaux	can, to be able to	quizlet book
B1L04-II-10	那	那	nà / nèi	Det	that	ankiweb ccc book
B1L04-II-16	千	千	qiān	N	thousand	book
B1L05-I-08	小吃	小吃	xiǎochī	N	light repast, snack	quizlet ankiweb ccc book
B1L05-I-18	是啊	是啊	shì a		That's right.	quizlet book
B1L05-II-16	有一點	有一点	yǒu yìdiǎn		a little	quizlet book
B1L06-I-08	風景	风景	fēngjǐng	N	scenery, landscape	quizlet ankiweb ccc book
B1L06-I-14	真的	真的	zhēnde	Adv	really, truly	quizlet ankiweb ccc book
B1L06-II-09	商店	商店	shāngdiàn	N	store, shop	slides ankiweb ddsg ccc book
B1L07-I-02	KTV	KTV		N	Karaoke	quizlet
B1L07-I-12	大安	大安	Dà'ān		Da-an (name of a KTV named after a district in Taipei, where Shida is also located)	book
B1L07-I-13	下次	下次	xià cì		next time	quizlet book
