ID	Traditional	Pinyin	POS	Meaning
B1L01-I-01	陳月美	Chén Yuèměi		a woman from Vietnam
B1L01-I-02	李明華	Lǐ Mínghuá		a man from Taiwan
B1L01-I-03	王開文	Wáng Kāiwén		a man from the US
B1L01-I-04	你	nǐ	N	you
B1L01-I-05	來	lái	V	to come
B1L01-I-06	是	shì	Vst	to be
B1L01-I-07	小姐	xiǎojiě	N	Miss, Ms
B1L01-I-08	嗎	ma	Ptc	sentence final particle
B1L01-I-09	接	jiē	V	to pick sb up
B1L01-I-10	我們	wǒmen	N	we, us
B1L01-I-11	我	wǒ	N	I, me
B1L01-I-12	這	zhè	Det	this
B1L01-I-13	先生	xiānshēng	N	Mr
B1L01-I-14	好	hǎo	Vs	fine, well
B1L01-I-15	姓	xìng	Vst	to be surnamed
B1L01-I-16	叫	jiào	Vst	to be called, i.e., to have the first name xx
B1L01-I-17	你們	nǐmen	N	you (plural)
B1L01-I-18	臺灣/台灣	Táiwān		Taiwan
B1L01-I-19	歡迎	huānyíng		welcome
B1L01-I-20	請問	qǐngwèn		May I ask you... Excuse me,
B1L01-I-21	是的	shìde		yes
B1L01-I-22	謝謝	xièxie		Thank you
B1L01-I-23	不客氣	búkèqì		You're welcome
B1L01-I-24	你好	Nǐ hǎo		How are you? Hello
B1L01-II-01	請	qǐng	V	please
B1L01-II-02	喝	hē	V	to drink
B1L01-II-03	茶	chá	N	tea
B1L01-II-04	很	hěn	Adv	very
B1L01-II-05	好喝	hǎohē	Vs	(lit. good to drink) to taste good
B1L01-II-06	什麼	shénme	N	what
B1L01-II-07	人	rén	N	person, people
B1L01-II-08	喜歡	xǐhuān	Vst	to like
B1L01-II-09	呢	ne	Ptc	sentence final particle
B1L01-II-10	他	tā	N	he, him
B1L01-II-11	不	bù	Adv	not
B1L01-II-12	哪	nǎ	Det	which
B1L01-II-13	要	yào	Vaux	to want to
B1L01-II-14	咖啡	kāfēi	N	coffee
B1L01-II-15	烏龍茶	Wūlóngchá		Oolong tea
B1L01-II-16	日本	Rìběn		Japan
B1L01-II-17	美國	Měiguó		America
B1L01-II-18	對不起	duìbùqǐ		I am sorry
B1L01-II-19	哪國	nǎguó		Which country?
B1L02-I-01	張怡君	Zhāng Yíjūn		a woman from Taiwan
B1L02-I-02	馬安同	Mǎ āntóng		a man from the Republic of Honduras
B1L02-I-03	的	de	Ptc	) modification marker
B1L02-I-04	家人	jiārén	N	family (members)
B1L02-I-05	家	jiā	N	home, house
B1L02-I-06	漂亮	piàoliàng	Vs	pretty
B1L02-I-07	房子	fángzi	N	house
B1L02-I-08	坐	zuò	Vi	to sit
B1L02-I-09	好	hǎo	Ptc	OK
B1L02-I-10	有	yǒu	Vst	to have
B1L02-I-11	多	duō	Vs-pred	many
B1L02-I-12	照片	zhàopiàn	N	photo
B1L02-I-13	都	dōu	Adv	all, both
B1L02-I-14	照相	zhàoxiàng	V-sep	to take a photo
B1L02-I-15	張	zhāng	M	measure word for flat objects (e.g., paper,
B1L02-I-16	好看	hǎokàn	Vs	good-looking
B1L02-I-17	誰	shéi	N	who
B1L02-I-18	姐姐	jiějie	N	older sister
B1L02-I-19	妹妹	mèimei	N	younger sister
B1L02-I-20	爸爸	bàba	N	dad
B1L02-I-21	媽媽	māma	N	mom
B1L02-I-22	請進	qǐng jìn		Please come in!
B1L02-II-01	田中誠一	Tiánzhōng Chéngyī		(a Japanese name (male))
B1L02-II-02	伯母	bómǔ	N	aunt; here a polite term for a friends' mothers regardless of
B1L02-II-03	您	nín	N	you (honorific)
B1L02-II-04	名字	Míngzi	N	name
B1L02-II-05	書	shū	N	book
B1L02-II-06	哥哥	gēge	N	older brother
B1L02-II-07	老師	lǎoshī	N	teacher
B1L02-II-08	看書	kànshū	V-sep	to read
B1L02-II-09	幾	jǐ	N	how many
B1L02-II-10	個	ge	M	general measure word
B1L02-II-11	沒	méi	Adv	not
B1L02-II-12	兄弟	xiōngdì	N	brothers
B1L02-II-13	姐妹	jiěmèi	N	sisters
B1L02-II-14	五	wǔ	N	five
B1L02-II-15	兩	liǎng	N	two
B1L03-I-01	週末	zhōumò	N	weekend
B1L03-I-02	聽	tīng	V	to listen
B1L03-I-03	音樂	yīnyuè	N	music
B1L03-I-04	運動	yùndòng	Vi	to exercise
B1L03-I-05	打	dǎ	V	to play (ball games)
B1L03-I-06	網球	wǎngqiú	N	tennis
B1L03-I-07	棒球	bàngqiú	N	baseball
B1L03-I-08	和	hàn	Conj	and, as well as
B1L03-I-09	游泳	yóuyǒng	V-sep	to swim
B1L03-I-10	常	cháng	Adv	often
B1L03-I-11	籃球	lánqiú	N	basketball
B1L03-I-12	也	yě	Adv	also
B1L03-I-13	踢	tī	V	to kick
B1L03-I-14	足球	zúqiú	N	soccer
B1L03-I-15	覺得	juéde	Vst	to feel, to think
B1L03-I-16	好玩	hǎowán	Vs	Interesting, fun
B1L03-I-17	明天	míngtiān	N	tomorrow
B1L03-I-18	早上	zǎoshàng	N	morning
B1L03-I-19	去	qù	V	to go
B1L03-I-20	怎麼樣	zěnmeyàng	Vs	How about it? How does that sounds? What do you think?
B1L03-I-21	啊	a	Ptc	sentence-final particle
B1L03-I-22	做什麼	zuò shénme		do what
B1L03-I-23	好啊	hǎoa		OK
B1L03-II-01	白如玉	Bái Rúyù		a woman from the US
B1L03-II-02	今天	jīntiān	N	today
B1L03-II-03	晚上	wǎnshàng	N	evening, night
B1L03-II-04	看	kàn	V	to see, to watch
B1L03-II-05	電影	diànyǐng	N	movie
B1L03-II-06	妳	nǐ	N	you (female)
B1L03-II-07	想	xiǎng	Vaux	to want, to think
B1L03-II-08	還是	háishì	Conj	or (used in a question)
B1L03-II-09	吧	ba	Ptc	sentence-final particle for suggestion
B1L03-II-10	可以	kěyǐ	Vaux	could (possibility)
B1L03-II-11	學	xué	V	to learn, to study
B1L03-II-12	中文	Zhōngwén	N	Chinese language
B1L03-II-13	一起	yìqǐ	Adv	together
B1L03-II-14	吃	chī	V	to eat
B1L03-II-15	晚飯	wǎnfàn	N	dinner
B1L03-II-16	菜	cài	N	cuisine
B1L03-II-17	越南	Yuènán		Vietna m
B1L03-II-18	好不好	hǎobùhǎo		How about...? How does that sound?
B1L04-I-01	一共	yígòng	Adv	altogether
B1L04-I-02	多少	duōshǎo	N	how much, how many
B1L04-I-03	錢	qián	N	money
B1L04-I-04	老闆	lǎobǎn	N	store-owner, boss
B1L04-I-05	買	mǎi	V	to buy
B1L04-I-06	杯	bēi	M	cup
B1L04-I-07	熱	rè	Vs	hot
B1L04-I-08	包子	bāozi	N	steamed buns with meat stuffing filling
B1L04-I-09	要	yào	V	to want, to need
B1L04-I-10	大	dà	Vs	large
B1L04-I-11	中	zhōng	Vs-attr	medium
B1L04-I-12	小	xiǎo	Vs	small
B1L04-I-13	幫	bāng	Prep	for
B1L04-I-14	微波	wéibō	V	to microwave
B1L04-I-15	百	bǎi	N	hundred
B1L04-I-16	塊	kuài	M	measure word for Chinese money
B1L04-I-17	好的	hǎode		OK
B1L04-I-18	外帶	wàidài		take out, to go
B1L04-I-19	內用	nèiyòng		for here
B1L04-II-01	支	zhī	M	measure word for cell phones
B1L04-II-02	新	xīn	Vs	new
B1L04-II-03	手機	shǒujī	N	cell phone
B1L04-II-04	太	tài	Adv	too
B1L04-II-05	舊	jiù	Vs	old
B1L04-II-06	了	le	Ptc	sentence-final particle indicating the speaker's sense of certainty
B1L04-II-07	種	zhǒng	M	kind, type
B1L04-II-08	能	néng	Vaux	can, be able to
B1L04-II-09	上網	shàngwǎng	V-sep	to access the internet, to use the internet
B1L04-II-10	那	nà	Det	that
B1L04-II-11	貴	guì	Vs	expensive
B1L04-II-12	賣	mài	V	to sell
B1L04-II-13	便宜	piányí	Vs	cheap, inexpensive
B1L04-II-14	要	yào	Vst	to take, to require
B1L04-II-15	萬	wàn	N	ten thousand
B1L04-II-16	千	qiān		thousand
B1L04-II-17	為什麼	wèishénme		why
