ID	Traditional	Pinyin	POS	Meaning
B3L10-I-01	住院	zhùyuàn	V-sep	to stay in a hospital, be hospitalized
B3L10-I-02	臉	liǎn	N	face
B3L10-I-03	受傷	shòushāng	Vp-sep	to be injured
B3L10-I-04	撞	zhuàng	V	to hit, collide
B3L10-I-05	遵守	zūnshǒu	V	to obey, follow, comply with
B3L10-I-06	規則	guīzé	N	rules, regulations
B3L10-I-07	報警	bàojǐng	V-sep	to report to (or call) the police
B3L10-I-08	急診室	jízhěnshì	N	emergency room
B3L10-I-09	傷	shāng	N	injury
B3L10-I-10	骨折	gǔzhé	Vp	to fracture, break a bone
B3L10-I-11	片子	piànzi	N	(X-ray) film
B3L10-I-12	開刀	kāidāo	V-sep	to have surgery
B3L10-I-13	病人	bìngrén	N	patient
B3L10-I-14	情況	qíngkuàng	N	situation
B3L10-I-15	緊急	jǐnjí	Vs	urgent
B3L10-I-16	病床	bìngchuáng	N	hospital
B3L10-I-17	要命	yàomìng	Vs	murderous, horrible
B3L10-I-18	打針	dǎzhēn	V-sep	to inject, give a shot
B3L10-I-19	止痛	zhǐtòng	Vi	to kill pain (lit. stop pain)
B3L10-I-20	手術	shǒushù	N	operation, surgery
B3L10-I-21	警察	jǐngchá	N	police
B3L10-I-22	危險	wéixiǎn	N	danger
B3L10-I-23	至於	zhìyú	Ptc	as to, regarding
B3L10-I-24	部位	bùwèi	N	(body) part, location
B3L10-I-25	恢復	huīfù	Vp	to recover
B3L10-I-26	傷口	shāngkǒu	N	wound
B3L10-I-27	哎呀	āiya	Ptc	interjection for realization of something important, oh no, yikes
B3L10-I-28	出車禍	chū chēhuò		to have an automobile accident
B3L10-I-29	趕時間	gǎn shíjiān		to be in a hurry
B3L10-I-30	撞到	zhuàng dǎo		to knock down, knock over
B3L10-I-31	救護車	jiùhù chē		ambulance
B3L10-I-32	照X光	zhào X guāng		to take an X-ray
B3L10-I-33	動手術	dòng shǒushù		to have undergo a surgery
B3L10-II-01	醫美	yīměi	N	cosmetic surgery
B3L10-II-02	合理	hélǐ	Vs	reasonable
B3L10-II-03	休假	xiūjià	V-sep	to take time off
B3L10-II-04	迷人	mírén	Vs	charming, attractive
B3L10-II-05	職場	zhíchǎng	N	workplace
B3L10-II-06	競爭力	jìngzhēnglì	N	competitive edge
B3L10-II-07	調查	diàochá	N	survey, investigation
B3L10-II-08	整形	zhěngxíng	V-sep	plastic surgery
B3L10-II-09	增加	zēngjiā	V	to increase
B3L10-II-10	自信	zìxìn	N	self-confidence
B3L10-II-11	外表	wàibiǎo	N	appearance, exterior
B3L10-II-12	普通	pǔtōng	Vs	common, ordinary
B3L10-II-13	從事	cóngshì	V	to be engaged in, work in (a field of work)
B3L10-II-14	醫治	yīzhì	V	to heal, cure
B3L10-II-15	一向	yíxiàng	Adv	have always
B3L10-II-16	一般	yìbān	Vs-attr	general, most
B3L10-II-17	主要	zhǔyào	Vs-attr	primary, main
B3L10-II-18	待遇	dàiyù	N	pay
B3L10-II-19	公立	gōnglì	Vs-attr	public; government-run
B3L10-II-20	外科	wàikē	N	department of surgery
B3L10-II-21	超過	chāoguò	Vpt	to exceed
B3L10-II-22	倍	bèi	M	times, -fold
B3L10-II-23	另	lìng	Det	another, additional
B3L10-II-24	價值觀	jiàzhíguān	N	values
B3L10-II-25	尊敬	zūnjìng	Vst	to respect, respectful of
