ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B1L01-I-01	陳月美	陈月美	Chén Yuèměi		a woman from Vietnam	
B1L01-I-02	李明華	李明华	Lǐ Mínghuá		a man from Taiwan	
B1L01-I-03	王開文	王开文	Wáng Kāiwén		a man from the US	
B1L01-I-04	你	你	nǐ	N	you	
B1L01-I-05	來	来	lái	V	to come	
B1L01-I-06	是	是	shì	Vst	to be	
B1L01-I-07	小姐	小姐	xiǎojiě	N	Miss, Ms.	
B1L01-I-08	嗎	吗	ma	Ptc	sentence final particle	
B1L01-I-09	接	接	jiē	V	to pick sb up	
B1L01-I-10	我們	我们	wǒmen	N	we, us	
B1L01-I-11	我	我	wǒ	N	I, me	
B1L01-I-12	這	这	zhè	Det	this	
B1L01-I-13	先生	先生	xiānshēng	N	Mr.	
B1L01-I-14	好	好	hǎo	Vs	fine, well	
B1L01-I-15	姓	姓	xìng	Vst	to be surnamed	
B1L01-I-16	叫	叫	jiào	Vst	to be called, i.e., to have the first name xx	
B1L01-I-17	你們	你们	nǐmen	N	you (plural)	
B1L01-I-18	臺灣（＝台灣）	台湾（＝台灣）	Táiwān		Taiwan	
B1L01-I-19	歡迎	欢迎	huānyíng		welcome	
B1L01-I-20	請問	请问	qǐngwèn		May I ask you... Excuse me, ...	
B1L01-I-21	是的	是的	shìde		yes	
B1L01-I-22	謝謝	谢谢	xièxie		Thank you.	
B1L01-I-23	不客氣	不客气	búkèqì		You're welcome.	
B1L01-I-24	你好	你好	Nǐ hǎo		How are you? Hello.	
B1L01-II-01	請	请	qǐng	V	please	
B1L01-II-02	喝	喝	hē	V	to drink	
B1L01-II-03	茶	茶	chá	N	tea	
B1L01-II-04	很	很	hěn	Adv	very	
B1L01-II-05	好喝	好喝	hǎohē	Vs	(lit. good to drink) to taste good	
B1L01-II-06	什麼	什么	shénme	N	what	
B1L01-II-07	人	人	rén	N	person, people	
B1L01-II-08	喜歡	喜欢	xǐhuān	Vst	to like	
B1L01-II-09	呢	呢	ne	Ptc	sentence final particle	
B1L01-II-10	他	他	tā	N	he, him	
B1L01-II-11	不	不	bù	Adv	not	
B1L01-II-12	哪	哪	nǎ	Det	which	
B1L01-II-13	要	要	yào	Vaux	to want to	
B1L01-II-14	咖啡	咖啡	kāfēi	N	coffee	
B1L01-II-15	烏龍茶	乌龙茶	Wūlóngchá		Oolong tea	
B1L01-II-16	日本	日本	Rìběn		Japan	
B1L01-II-17	美國	美国	Měiguó		America	
B1L01-II-18	對不起	对不起	duìbùqǐ		I am sorry.	
B1L01-II-19	哪國	哪国	nǎguó		Which country?	
B1L02-I-01	張怡君	张怡君	Zhāng Yíjūn		a woman from Taiwan	
B1L02-I-02	馬安同	马安同	Mǎ āntóng		a man from the Republic of Honduras	
B1L02-I-03	的	的	de	Ptc	modification marker	
B1L02-I-04	家人	家人	jiārén	N	family (members)	
B1L02-I-05	家	家	jiā	N	home, house	
B1L02-I-06	漂亮	漂亮	piàoliàng	Vs	pretty	
B1L02-I-07	房子	房子	fángzi	N	house	
B1L02-I-08	坐	坐	zuò	Vi	to sit	
B1L02-I-09	好	好	hǎo	Ptc	OK	
B1L02-I-10	有	有	yǒu	Vst	to have	
B1L02-I-11	多	多	duō	Vs-pred	many	
B1L02-I-12	照片	照片	zhàopiàn	N	photo	
B1L02-I-13	都	都	dōu	Adv	all, both	
B1L02-I-14	照相	照相	zhàoxiàng	V-sep	to take a photo	
B1L02-I-15	張	张	zhāng	M	measure word for flat objects (e.g., paper, tickets)	
B1L02-I-16	好看	好看	hǎokàn	Vs	good-looking	
B1L02-I-17	誰	谁	shéi	N	who	
B1L02-I-18	姐姐	姐姐	jiějie	N	older sister	
B1L02-I-19	妹妹	妹妹	mèimei	N	younger sister	
B1L02-I-20	爸爸	爸爸	bàba	N	dad	
B1L02-I-21	媽媽	妈妈	māma	N	mom	
B1L02-I-22	請 進	请 进	qǐng jìn		Please come in!	
B1L02-II-01	田中誠一	田中诚一	Tiánzhōng Chéngyī		(a Japanese name (male))	
B1L02-II-02	伯母	伯母	bómǔ	N	aunt; here a polite term for a friends' mothers regardless of age	
B1L02-II-03	您	您	nín	N	you (honorific)	
B1L02-II-04	名字	名字	Míngzi	N	name	
B1L02-II-05	書	书	shū	N	book	
B1L02-II-06	哥哥	哥哥	gēge	N	older brother	
B1L02-II-07	老師	老师	lǎoshī	N	teacher	
B1L02-II-08	看書	看书	kànshū	V-sep	to read	
B1L02-II-09	幾	几	jǐ	N	how many	
B1L02-II-10	個	个	ge	M	general measure word	
B1L02-II-11	沒	没	méi	Adv	not	
B1L02-II-12	兄弟	兄弟	xiōngdì	N	brothers	
B1L02-II-13	姐妹	姐妹	jiěmèi	N	sisters	
B1L02-II-14	五	五	wǔ	N	five	
B1L02-II-15	兩	两	liǎng	N	two	
B1L03-I-01	週末	周末	zhōumò	N	weekend	
B1L03-I-02	聽	听	tīng	V	to listen	
B1L03-I-03	音樂	音乐	yīnyuè	N	music	
B1L03-I-04	運動	运动	yùndòng	Vi	to exercise	
B1L03-I-05	打	打	dǎ	V	to play (ball games)	
B1L03-I-06	網球	网球	wǎngqiú	N	tennis	
B1L03-I-07	棒球	棒球	bàngqiú	N	baseball	
B1L03-I-08	和	和	hàn	Conj	and, as well as	
B1L03-I-09	游泳	游泳	yóuyǒng	V-sep	to swim	
B1L03-I-10	常	常	cháng	Adv	often	
B1L03-I-11	籃球	篮球	lánqiú	N	basketball	
B1L03-I-12	也	也	yě	Adv	also	
B1L03-I-13	踢	踢	tī	V	to kick	
B1L03-I-14	足球	足球	zúqiú	N	soccer	
B1L03-I-15	覺得	觉得	juéde	Vst	to feel, to think	
B1L03-I-16	好玩	好玩	hǎowán	Vs	Interesting, fun	
B1L03-I-17	明天	明天	míngtiān	N	tomorrow	
B1L03-I-18	早上	早上	zǎoshàng	N	morning	
B1L03-I-19	去	去	qù	V	to go	
B1L03-I-20	怎麼樣	怎么样	zěnmeyàng	Vs	How about it? How does that sounds? What do you think?	
B1L03-I-21	啊	啊	a	Ptc	sentence-final particle	
B1L03-I-22	做什麼	做什么	zuò shénme		do what	
B1L03-I-23	好啊	好啊	hǎoa		OK	
B1L03-II-01	白如玉	白如玉	Bái Rúyù		a woman from the US	
B1L03-II-02	今天	今天	jīntiān	N	today	
B1L03-II-03	晚上	晚上	wǎnshàng	N	evening, night	
B1L03-II-04	看	看	kàn	V	to see, to watch	
B1L03-II-05	電影	电影	diànyǐng	N	movie	
B1L03-II-06	妳	妳	nǐ	N	you (female)	
B1L03-II-07	想	想	xiǎng	Vaux	to want, to think	
B1L03-II-08	還是	还是	háishì	Conj	or (used in a question)	
B1L03-II-09	吧	吧	ba	Ptc	sentence-final particle for suggestion	
B1L03-II-10	可以	可以	kěyǐ	Vaux	could (possibility)	
B1L03-II-11	學	学	xué	V	to learn, to study	
B1L03-II-12	中文	中文	Zhōngwén	N	Chinese language	
B1L03-II-13	一起	一起	yìqǐ	Adv	together	
B1L03-II-14	吃	吃	chī	V	to eat	
B1L03-II-15	晚飯	晚饭	wǎnfàn	N	dinner	
B1L03-II-16	菜	菜	cài	N	cuisine	
B1L03-II-17	越南	越南	Yuènán		Vietnam	
B1L03-II-18	好不好	好不好	hǎobùhǎo		How about...? How does that sound?	
B1L04-I-01	一共	一共	yígòng	Adv	altogether	
B1L04-I-02	多少	多少	duōshǎo	N	how much, how many	
B1L04-I-03	錢	钱	qián	N	money	
B1L04-I-04	老闆	老板	lǎobǎn	N	store-owner, boss	
B1L04-I-05	買	买	mǎi	V	to buy	
B1L04-I-06	杯	杯	bēi	M	cup	
B1L04-I-07	熱	热	rè	Vs	hot	
B1L04-I-08	包子	包子	bāozi	N	steamed buns with meat stuffing filling	
B1L04-I-09	要	要	yào	V	to want, to need	
B1L04-I-10	大	大	dà	Vs	large	
B1L04-I-11	中	中	zhōng	Vs-attr	medium	
B1L04-I-12	小	小	xiǎo	Vs	small	
B1L04-I-13	幫	帮	bāng	Prep	for	
B1L04-I-14	微波	微波	wéibō	V	to microwave	
B1L04-I-15	百	百	bǎi	N	hundred	
B1L04-I-16	塊	块	kuài	M	measure word for Chinese money	
B1L04-I-17	好的	好的	hǎode		OK	
B1L04-I-18	外帶	外带	wàidài		take out, to go	
B1L04-I-19	內用	内用	nèiyòng		for here	
B1L04-II-01	支	支	zhī	M	measure word for cell phones	
B1L04-II-02	新	新	xīn	Vs	new	
B1L04-II-03	手機	手机	shǒujī	N	cell phone	
B1L04-II-04	太	太	tài	Adv	too	
B1L04-II-05	舊	旧	jiù	Vs	old	
B1L04-II-06	了	了	le	Ptc	sentence-final particle indicating the speaker's sense of certainty	
B1L04-II-07	種	种	zhǒng	M	kind, type	
B1L04-II-08	能	能	néng	Vaux	can, be able to	
B1L04-II-09	上網	上网	shàngwǎng	V-sep	to access the internet, to use the internet	
B1L04-II-10	那	那	nà	Det	that	
B1L04-II-11	貴	贵	guì	Vs	expensive	
B1L04-II-12	賣	卖	mài	V	to sell	
B1L04-II-13	便宜	便宜	piányí	Vs	cheap, inexpensive	
B1L04-II-14	要	要	yào	Vst	to take, to require	
B1L04-II-15	萬	万	wàn	N	ten thousand	
B1L04-II-16	千	千	qiān		thousand	
B1L04-II-17	為什麼	为什么	wèishénme		why	
B1L05-I-01	牛肉	牛肉	niúròu	N	beef	
B1L05-I-02	麵	面	miàn	N	noodles	
B1L05-I-03	真	真	zhēn	Adv	really	
B1L05-I-04	好吃	好吃	hǎochī	Vs	delicious	
B1L05-I-05	說	说	shuō	V	say	
B1L05-I-06	少	少	shǎo	Vs-pred	few in number	
B1L05-I-07	有名	有名	yǒumíng	Vs	well known, famous	
B1L05-I-08	小吃	小吃	xiǎochī	N	light repeat, snack	
B1L05-I-09	最	最	zuì	Adv	most	
B1L05-I-10	湯	汤	tāng	N	soup, broth	
B1L05-I-11	這麼	这么	zhème	Adv	so	
B1L05-I-12	知道	知道	zhīdào	Vst	to know	
B1L05-I-13	家	家	jiā	M	measure word for restaurants, shops, etc.	
B1L05-I-14	店	店	diàn	N	shop, store	
B1L05-I-15	一定	一定	yídìng	Adv	really must, definitely	
B1L05-I-16	點	点	diǎn	V	to order (meals)	
B1L05-I-17	碗	碗	wǎn	M	a bowl of	
B1L05-I-18	是啊	是啊	shìa		That's right.	
B1L05-I-19	小籠包	小笼包	xiǎolóngbāo		xiaolongbao, e.g., small meat and cabbage-filled steamed buns	
B1L05-I-20	臭豆腐	臭豆腐	chòu dòufǔ		stinky tofu (fermented tofu)	
B1L05-I-21	太好了	太好了	tài hǎo le		Excellent. Great.	
B1L05-II-01	昨天	昨天	zuótiān	N	yesterday	
B1L05-II-02	餐廳	餐厅	cāntīng	N	restaurant	
B1L05-II-03	可是	可是	kěshì	Conj	but, however	
B1L05-II-04	辣	辣	là	Vs	hot (spicy)	
B1L05-II-05	怕	怕	pà	Vst	(here) to not like, to fear	
B1L05-II-06	所以	所以	suǒyǐ	Conj	therefore, so	
B1L05-II-07	自己	自己	zìjǐ	N	self	
B1L05-II-08	做飯	做饭	zuòfàn	V-sep	to cook	
B1L05-II-09	得	得	de	Ptc	complement marker	
B1L05-II-10	會	会	huì	Vaux	to be able to, can	
B1L05-II-11	甜點	甜点	tiándiǎn	N	dessert	
B1L05-II-12	不錯	不错	búcuò	Vs	not bad	
B1L05-II-13	可以	可以	kěyǐ	Vaux	could (possibility)	
B1L05-II-14	教	教	jiāo	V	to teach	
B1L05-II-15	到	到	dào	Prep	to	
B1L05-II-16	有一點	有一点	yǒu yì diǎn		a little	
B1L05-II-17	不好	不好	bù hǎo		not well	
B1L06-I-01	他們	他们	tāmen	N	they (used for people only)	
B1L06-I-02	學校	学校	xuéxiào	N	school	
B1L06-I-03	在	在	zài	Vst	to be located at	
B1L06-I-04	山上	山上	shānshàng	N	on a mountain, in the mountains	
B1L06-I-05	哪裡	哪里	nǎlǐ	N	where	
B1L06-I-06	遠	远	yuǎn	Vs	far	
B1L06-I-07	那裡	那里	nàlǐ	N	that place, there	
B1L06-I-08	風景	风景	fēngjǐng	N	scenery, landscapes	
B1L06-I-09	美	美	měi	Vs	beautiful	
B1L06-I-10	前面	前面	qiánmiàn	N	front	
B1L06-I-11	海	海	hǎi	N	ocean	
