ID	Traditional	Tags
B1L01-I-01	陳月美	Character Name
B1L01-I-02	李明華	Character Name
B1L01-I-03	王開文	Character Name
B1L01-I-18	臺灣（＝台灣）	Name
B1L01-I-19	歡迎	Ph
B1L01-I-20	請問	Ph
B1L01-I-21	是的	Ph
B1L01-I-22	謝謝	Ph
B1L01-I-23	不客氣	Ph
B1L01-I-24	你好	Ph
B1L01-II-15	烏龍茶	Name
B1L01-II-16	日本	Name
B1L01-II-17	美國	Name
B1L01-II-18	對不起	Ph
B1L01-II-19	哪國	Ph
B1L02-I-01	張怡君	Character Name
B1L02-I-02	馬安同	Character Name
B1L02-I-22	請進	Ph
B1L02-II-01	田中誠一	Character Name
B1L03-I-22	做什麼	Ph
B1L03-I-23	好啊	Ph
B1L03-II-01	白如玉	Character Name
B1L03-II-17	越南	Name
B1L03-II-18	好不好	Ph
B1L04-I-17	好的	Ph
B1L04-I-18	外帶	Ph
B1L04-I-19	內用	Ph
B1L04-II-17	為什麼	Ph
B1L05-I-18	是啊	Ph
B1L05-I-19	小籠包	Ph
B1L05-I-20	臭豆腐	Ph
B1L05-I-21	太好了	Ph
B1L05-II-16	有一點	Ph
B1L05-II-17	不好	Ph
B1L06-I-22	花蓮	Name
B1L06-I-23	聽說	Ph
B1L07-I-12	大安	Name
B1L07-I-13	下次	Ph
B1L07-I-14	沒問題	Ph
B1L07-I-15	對了	Ph
B1L07-I-16	有空	Ph
B1L07-I-17	再見	Ph
B1L07-II-20	等一下	Ph
B1L07-II-21	有事	Ph
B1L07-II-22	有意思	Ph
B1L08-I-17	臺南	Name
B1L08-I-18	高鐵	Name
B1L08-I-19	網路上	Ph
B1L08-I-20	便利商店	Ph
B1L08-II-09	故宮博物院（故宮）	Name
B1L08-II-10	中國	Name
B1L08-II-11	公共汽車（公車）	Ph
B1L08-II-12	不行	Ph
B1L08-II-13	計程車	Ph
B1L08-II-14	差不多	Ph
B1L09-I-10	放假	Ph
B1L09-I-11	下個星期	Ph
B1L09-I-12	有時候	Ph
B1L09-I-13	多久	Ph
B1L09-I-14	臺東	Name
B1L09-II-16	貓空	Name
B1L10-I-15	吃吃看	Ph
B1L10-II-18	上個月	Ph
B1L10-II-19	這些	Ph
B1L11-I-22	林	Name
B1L11-I-23	打電話	Ph
B1L11-II-14	收到	Ph
B1L11-II-15	不好意思	Ph
B1L11-II-16	沒關係	Ph
B1L11-II-17	有線電視	Ph
B1L12-I-21	語言中心	Ph
B1L12-I-22	加油	Ph
B1L12-II-15	試試看	Ph
B1L13-I-18	西班牙	Name
B1L13-I-19	生日快樂	Ph
B1L13-I-20	我就是	Ph
B1L13-I-21	好久不見	Ph
B1L13-I-22	不必客氣	Ph
B1L13-I-23	太客氣	Ph
B1L13-II-14	哪裡，哪裡	Ph
B1L13-II-15	大部分	Ph
